Month and Year,industries,number
March 2013,Sale; repair and maintenance of motor vehicles and trailers,400
March 2013,Wholesale trade; except of motor vehicles and motorcycles,41
March 2013,Retail trade; except of motor vehicles and motorcycles,310
March 2013,Land transport and by pipeline,186
March 2013,Transport by sea and waterways,450
March 2013,Air transportation,871
March 2013,Warehousing and support activities for transport,90
March 2013,Post and courier services,55
March 2013,Operation of accommodation,95
March 2013,Catering and service,164
March 2013,Publishing activities,106
March 2013,Production of films; videos and television material; audio recording and music publishing,257
March 2013,Radio and television broadcasting; programming,433
March 2013,Telecommunications,47
March 2013,Information technology services,25
March 2013,Information service activities,26
March 2013,Financial services; excluding the activities of insurance companies and pension funds,60
March 2013,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,79
March 2013,Activities related to financial services and insurance,13
March 2013,Real estate,244
March 2013,Legal services and accounting,19
March 2013,Headquarters operations; operations consultancy activities,12
March 2013,Activities of architects and engineers; technical tests and analysis,78
March 2013,Scientific research and development,51
March 2013,Advertising and marketing research,40
March 2013,Other professional; scientific and technical activities,55
March 2013,Veterinary medicine,44
March 2013,Rental activities; except real estate leasing,25
March 2013,Employment agency,29
March 2013,Travel agencies; tour operators and other booking services,6
March 2013,Security and research activities,37
March 2013,Real estate management; cleaning services and ornamental gardening,6
March 2013,Office services and other business services,63
March 2013,Public administration; defense and social security,65
March 2013,Educational activities,389
March 2013,Health care,54
March 2013,Care in residential homes,67
March 2013,Social services without a stay in an institution,321
March 2013,Creative arts and entertainment,203
March 2013,Museum activities and other cultural activities,201
March 2013,Financial risk and betting activities,47
March 2013,Sports and leisure activities,38
March 2013,Activities of NGOs,33
March 2013,Repair of computers and objects for personal and household use,3
March 2013,Other service activities,119
March 2013,Housekeeping with paid staff,119
March 2013,Service activities and home production of various products for personal use,13
March 2013,Activities of extra territorial organisations and bodies,114
March 2013,Working from home,1
March 2013,Student,
March 2013,No work history,
March 2013,Uncertain,874
April 2013,Cultivation of crops and animal husbandry; hunting and related service activities,92
April 2013,Forestry and logging,4
April 2013,Fishing and aquaculture,269
April 2013,Coal mining,2
April 2013,Crude oil and natural gas production,
April 2013,Metallurgy and metallurgy,1
April 2013,Mining and processing of other raw materials from the ground,3
April 2013,Mining services,1
April 2013,Food production,457
April 2013,Manufacture of beverages,304
April 2013,Manufacture of textiles,32
April 2013,Clothing making,
April 2013,Manufacture of leather and leather products,10
April 2013,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,27
April 2013,Manufacture of paper and paper products,5
April 2013,Printing and duplication of recorded material,21
April 2013,Production of coke and refined petroleum products,3
April 2013,Manufacture of chemicals and chemical products,42
April 2013,Manufacture of pharmaceutical preparations and preparations,1
April 2013,Manufacture of rubber and plastic products,20
